year,quarter,state,category,total_count,total_amount
2018,2,arunachal-pradesh,Merchant payments,7134.0,14156860.318683034
2018,2,arunachal-pradesh,Others,6129.0,5526952.1074057445
2018,2,arunachal-pradesh,Peer-to-peer payments,79431.0,544728843.5839427
2018,2,arunachal-pradesh,Recharge & bill payments,152100.0,31406635.611321546
2018,2,assam,Financial Services,68319.0,21154513.972833306
2018,2,assam,Merchant payments,237921.0,220099034.42217678
2018,2,assam,Others,140556.0,94277264.17615817
2018,2,assam,Peer-to-peer payments,1592343.0,6192942159.401992
2018,2,assam,Recharge & bill payments,2952480.0,523282434.64022416
2018,2,bihar,Financial Services,802299.0,135997596.2892986
2018,2,bihar,Merchant payments,934461.0,955715618.4649582
2018,2,bihar,Others,776133.0,900384247.8481374
2018,2,bihar,Peer-to-peer payments,10343694.0,36424346535.232864
2018,2,bihar,Recharge & bill payments,13040547.0,2101949331.1808906
2018,2,chandigarh,Financial Services,35781.0,11038355.59053569
2018,2,chandigarh,Merchant payments,103818.0,88225414.51899983
2018,2,chandigarh,Others,40128.0,48348825.82243265
2018,2,chandigarh,Peer-to-peer payments,583881.0,2505888469.2660613
2018,2,chandigarh,Recharge & bill payments,673644.0,230168720.03615856
2018,2,chhattisgarh,Financial Services,120897.0,28217824.881230876
2018,2,chhattisgarh,Merchant payments,355314.0,389903445.5553257
2018,2,chhattisgarh,Others,242676.0,209917531.80298865
2018,2,chhattisgarh,Peer-to-peer payments,2799198.0,11109343642.975052
2018,2,chhattisgarh,Recharge & bill payments,4930383.0,1055128884.2703507
2018,2,dadra-&-nagar-haveli-&-daman-&-diu,Financial Services,8988.0,1151418.2564019049
2018,2,dadra-&-nagar-haveli-&-daman-&-diu,Merchant payments,10632.0,14056608.109300666
2018,2,dadra-&-nagar-haveli-&-daman-&-diu,Others,12111.0,13230673.415243642
2018,2,dadra-&-nagar-haveli-&-daman-&-diu,Peer-to-peer payments,207645.0,785986839.1644614
2018,2,dadra-&-nagar-haveli-&-daman-&-diu,Recharge & bill payments,368502.0,91786776.0230472
2018,2,delhi,Financial Services,617973.0,199754184.58784086
2018,2,delhi,Merchant payments,2511003.0,1894793371.8007765
2018,2,delhi,Others,828834.0,965263993.4954073
2018,2,delhi,Peer-to-peer payments,10628148.0,43044537309.32951
